nama_tps,alamat,kelurahan,kecamatan,wilayah,jenis_tps,luas_lahan(m2),status_lahan,volume_sampah_rata_rata_per_hari(m3)
Lps Asrama Polisi Rw. 09,Jl. Cideng Barat,Cideng,Gambir,Jakarta Pusat,Bak Beton,14,Asrama Polisi,1
Dinas teknis,Jl.  Jati baru,Cideng,Gambir,Jakarta Pusat,Bak Beton,60,Dinas teknis,8
Rw.012,Jl.setia kawan Rt.01,Duri pulo,Gambir,Jakarta Pusat,Bak Beton,18,PJKA,8
Rw.09,Jl.setia kawan ujung rt 03,Duri pulo,Gambir,Jakarta Pusat,Bak Beton,20,Pemda,6
Rw.04,Jl.gambir buntu,Gambir,Gambir,Jakarta Pusat,Bak Beton,8,Pemda,1
Perhubungan ,Jl. Abdul Muis,Gambir ,Gambir,Jakarta Pusat,Bak Beton,12,Kementerian perhubungan ,2
RS.  Budi kemuliaan,Jl.  Budi kemuliaan ,Gambir ,Gambir,Jakarta Pusat,Bak Beton,15,Rs.  Budi kemuliaan ,1
Rw.07 dan 08,Jl.binatu 1,Petojo utara,Gambir,Jakarta Pusat,Bak Beton,24,Pemda,6
Kementrian pertahanan ,Jl.  Tanah Abang timur,Gambir,Gambir ,Jakarta Pusat,Bak Beton,64,Kementerian pertahanan ,4
Sekretaris Negara ,Jl. Medan merdeka Utara ,Gambir ,Gambir ,Jakarta Pusat,Bak Beton,12,Pemerintah ,14
Kemenkominfo,Jl.  Abdul muis,Gambir ,Gambir ,Jakarta Pusat,Bak Beton,48,Kemenkominfo,2
Pasar Thomas ,Jl. Tanah Abang V,Petojo selatan ,Gambir ,Jakarta Pusat,Bak Beton,8,Pd pasar jaya,6
LPS gembrong,Jl.rawa selatan I,Kampung rawa,Johar baru,Jakarta Pusat,Bak Beton,30,Milik Pemda ,18
TPS RW. 03 Cikini,Jl. Raden Saleh II,Cikini,Menteng,Jakarta Pusat,Bak Beton,20,PU air,12
TPS SMP Negeri 1,Jl. Cikini raya,Cikini,Menteng,Jakarta Pusat,Bak Beton,6,Sekolah,3
TPS RW. 10 Menteng Tenggulun,Jl. Menteng Tenggulun,Menteng,Menteng,Jakarta Pusat,Bak Beton,30,Pinggir kali,10
TPS Kimia,Jl. Kimia,Pegangsaan,Menteng,Jakarta Pusat,Bak Beton,8,PU Air,5
Tps Rusun Benhil II,Jl. Lan 2 Pejompongan,Bendungan Hilir,Tanah Abang,Jakarta Pusat,Bak Beton,15,Milik rusun,7.5
Tps Rusun Benhil I,Jl. Penjernihan I,Bendungan Hilir,Tanah Abang,Jakarta Pusat,Bak Beton,18,Milik Dinas Perumahan,8
Pasar palmerah,Jl.Palmerah Selatan,Gelora,Tanah Abang,Jakarta Pusat,Bak Beton,48,Milik PD Pasar Jaya,16
Pasar UKM Lokbin Palmerah,Jl. Palmerah Barat Rt/Rw 01/02,Gelora,Tanah Abang,Jakarta Pusat,Bak Beton,18,Milik Pemerintah,16
Lps St. Tn Abang,Jl. Jati Baru,Kampung Bali,Tanah Abang,Jakarta Pusat,Bak Beton,36,Milik PJKA,6
Tps RSTA Rw 10,Jl. KH Mas Mansyur,Kebon Kacang,Tanah Abang,Jakarta Pusat,Bak Beton,10,Milik Dinas Perumahan,6
Pasar lontar,Jl.Sabeni Raya ,Kebon melati,Tanah Abang,Jakarta Pusat,Bak Beton,48,Milik PD Pasar Jaya,30
Tps Rusun Petamburan,Jl. Petamburan V Rw 11,Petamburan,Tanah Abang,Jakarta Pusat,Bak Beton,6,Milik Dinas Perumahan,10
Tps Rusun Petamburan,Jl. Petamburan V Rw 11,Petamburan,Tanah Abang,Jakarta Pusat,Bak Beton,6,Milik Dinas Perumahan,10
Dipo rawakerbo,Jl.Rawasari sel,Cempaka putih timur,Cempaka putih,Jakarta Pusat,TPS 3R,150,Pemrov DKI,24
Dipo kebon kelapa,Jl.pintu air 2,Kebon kelapa,Gambir,Jakarta Pusat,Dipo,200,PJKA,18
Dipo Tanjung Selor,Jl.  Tanjung selor,Cideng,Gambir ,Jakarta Pusat,Dipo,200,Pemda dki,40
Dipo Jl. Tanah Abang I,Jl. Tanah Abang I,Petojo Selatan ,Gambir ,Jakarta Pusat,Dipo,120,Pemerintah ,40
Dipo Johar baru ,Jl.Johar Baru Utara 1,Johar Baru,Johar Baru,Jakarta Pusat,Dipo,225,Milik Pemda,40
Dipo kota Paris ,Jl.pulogundul ,Tanah tinggi,Johar baru ,Jakarta Pusat,Dipo,180,Milik pemda,16
Dipo Kran,Jl.Kran Raya,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,Dipo,225,Pemda,58
Dipo Matraman,Jl. Matraman Dalam 1,Pegangsaan,Menteng,Jakarta Pusat,Dipo,400,Tanah PU air,60
Dipo Gunung Sahari Utara,Jl. Gunung Sahari 7A,Gunung Sahari Utara,Sawah besar,Jakarta Pusat,Dipo,600,PJKA,60
Dipo PAM,Jl. PAM Baru Raya,Bendungan Hilir,Tanah Abang,Jakarta Pusat,Dipo,400,Tanah Milik PU,45
Dipo PLN,Jl. Awaludin IV Rt/Rw 03/17,Kebon Melati,Tanah Abang,Jakarta Pusat,Dipo,264,Tanah Milik PLN,30
Dipo Rw 04 Petamburan,Jl. Petamburan Rw 04,Petamburan,Tanah Abang,Jakarta Pusat,Dipo,255,Milik Pemerintah,20
Kantor DPRD,Jl.kebon sirih raya ,Gambir,Gambir,Jakarta Pusat,Pool Container,15,Milik pemda DKI ,5
Stasiun Gambir,Jl.medan merdeka timur,Gambir,Gambir,Jakarta Pusat,Pool Container,40,PJKA,12
Lenggang jakarta,Taman monas,Gambir,Gambir,Jakarta Pusat,Pool Container,15,Pemda,8
Lemhanas,Jl.kebon sirih raya,Gambir,Gambir,Jakarta Pusat,Pool Container,30,Pemerintah pusat,6
Kementerian perdagangan,Jl.ridwan rais,Gambir,Gambir,Jakarta Pusat,Pool Container,21,Pemerintah pusat,6
Kantor walikota,Jl.tanah abang 1,Gambir,Gambir,Jakarta Pusat,Pool Container,24,Pemda,4
Paspampres ,Jl. Tanah Abang 2,Petojo selatan ,Gambir,Jakarta Pusat,Pool Container,16,Paspampres ,5
Pasar petojo ilir,Jl.petojo ilir,Petojo utara,Gambir,Jakarta Pusat,Pool Container,16,PD.PASAR,14
Pool container Embrio,Jl.pulo gundul,Tanah tinggi ,Johar baru,Jakarta Pusat,Pool Container,15,Milik pemda,8
Tps Golden,Jl. Bungur Besar Raya,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,Pool Container,50,Milik PT. Golden Truly,12
Tps Armabar,Jl. Bungur Besar Raya,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,Pool Container,35,Milik Koarmabar,12.05
Tps RW. 10 Kebon Kosong,Jl. Swadaya,Kebon Kosong,Kemayoran,Jakarta Pusat,Pool Container,15,Swadaya warga,6.83
Tps Apron,Jl.Angkasa Raya,Kebon Kosong,Kemayoran,Jakarta Pusat,Pool Container,60,Swadaya warga,10
Tips Pasar Kemayoran,"Jl.D ,Utan Panjang",Utan Panjang,Kemayoran,Jakarta Pusat,Pool Container,360,PD Pasar Jaya,9.06
TPS TIM,Jl. Cikini Raya,Cikini,Menteng,Jakarta Pusat,Pool Container,20,Halaman Taman Ismail Marzuki,12
TPS RW. 01 Menteng Tenggulun,Jl. Menteng Tenggulun,Menteng,Menteng,Jakarta Pusat,Pool Container,15,Pinggir Kali,8
TPS RW.01 ,Jl. Cikini Kramat,Pegangsaan,Menteng,Jakarta Pusat,Pool Container,15,Jalan Warga,12
Pasar Timbul,Jl. Gotong Royong,Kartini,Sawah besar,Jakarta Pusat,Pool Container,20,PD. Pasar,18
Istiqlal,Komplek Masjid Istiqlal,Pasar Baru,Sawah Besar,Jakarta Pusat,Pool Container,100,Masjid Istiqlal,9
lps rw 05 senen, Jl abdurohman saleh,Senen,Senen,Jakarta Pusat,Pool Container,16,Pemda,7
Lps pasar kebon jati,Jl.Kebon Jati,Kampung Bali,Tanah Abang,Jakarta Pusat,Pool Container,40,Milik PD Pasar Jaya,10
Tps Rw 07 Karteng,Jl. Karet Pasar Baru Barat I Rw 07,Karet Tengsin,Tanah Abang,Jakarta Pusat,Pool Container,42,Milik PU,8
Tps RSTA Rw 11,Jl. Kebon Kacang IX Rw 11,Kebon Kacang,Tanah Abang,Jakarta Pusat,Pool Container,25,Milik Dinas Perumahan,8
Pasar Gandaria,Jl. Kebon Kacang I,Kebon Kacang,Tanah Abang,Jakarta Pusat,Pool Container,30,Milik PD. Pasar Jaya,6
Tps RSKK,Jl. Kb Kacang XI,Kebon Kacang,Tanah Abang,Jakarta Pusat,Pool Container,5,Milik Dinas Perumahan,8
Jl.Cempaka putih barat,jl.cempaka putih barat 2,Cempaka putih barat,Cempaka putih,Jakarta Pusat,Pool Gerobak,20,Pemrov DKI,12
Jl.mardani raya,Jl.mardani raya,Cempaka putih barat,Cempaka putih,Jakarta Pusat,Pool Gerobak,16,Pemrov DKI,12
jl.cempaka putih timur rw 4,Jl.cempaka putih timur,Cempaka putih timur,Cempaka Putih,Jakarta Pusat,Pool Gerobak,75,Pemrov DKI,4
Tps jl.cempaka putih tengah 31,Jl.cempaka putih tengah 31,Cempaka putih timur,Cempaka putih,Jakarta Pusat,Pool Gerobak,30,Pemrov DKI,3
Jl.cempaka putih tengah 17,Jl.cempaka putih tengah 17 rw 7,Cempaka putih timur,Cempaka putih,Jakarta Pusat,Pool Gerobak,34,Pemrov DKI,9
Jl.percetakan negara IX,jl.percetakan negara IX,Rawasari,Cempaka putih,Jakarta Pusat,Pool Gerobak,20,Pemrov DKI,8
Jl.percetakan negara 5,jl.percetakan negara 5,Rawasari,Cempaka putih,Jakarta Pusat,Pool Gerobak,20,Pemrov DKI,8
Jl.pramuka jaya sari,jl.pramuka jaya sari,Rawasari,Cempaka putih,Jakarta Pusat,Pool Gerobak,14,Pemrov DKI,8
Rw.07 dan 08,Jl.subur baru,Duri pulo,Gambir,Jakarta Pusat,Pool Gerobak,60,Pemda,16
Jl.pejambon,Jl.pejambon,Gambir,Gambir,Jakarta Pusat,Pool Gerobak,15,Pemda/bahu jalan,4
TPS JL.BATU,Jl.batu,Gambir,Gambir,Jakarta Pusat,Pool Gerobak,15,Pemerintah pusat,5
Sukarjo wiryopranoto,Jalan sukarjo wiryopranoto,Kebon kelapa,Gambir,Jakarta Pusat,Pool Gerobak,15,Pemda,12
LPS  Tanah Abang 3,Jl.  Tanah Abang 3,Petojo Selatan ,Gambir ,Jakarta Pusat,Pool Gerobak,4,Bahu jalan,6
Jatibaru,Jl.  Jatibaru,Petojo selatan ,Gambir ,Jakarta Pusat,Pool Gerobak,6,Bahu jalan,4
RW. 03 Petojo Utara ,Jl. Petojo Utara VI,Petojo Utara ,Gambir ,Jakarta Pusat,Pool Gerobak,21,Bahu jalan,20
Rw. 04 petojo utara ,Jl. Cideng Timur ,Petojo utara ,Gambir ,Jakarta Pusat,Pool Gerobak,18,"Pemda,  jalan raya",6
RW. 05 dan RW.06 ,Jl  cideng timur,Petojo utara ,Gambir ,Jakarta Pusat,Pool Gerobak,18,"Pemda,  bahu jalan",12
Tps Jl. Pam Rw. 08,Jl. Pam Rw. 08 Cempaka baru,Cempaka Baru,Kemayoran,Jakarta Pusat,Pool Gerobak,15,Bahu Jalan,10
Tps Rw. 05 Cempaka Baru,Jl. Sumur Batu Raya,Cempaka Baru,Kemayoran,Jakarta Pusat,Pool Gerobak,50,Bahu Jalan,10.78
Tps RW. 06 Kel. Cempaka Baru,Jl. Cempaka Baru Tengah,Cempaka Baru,Kemayoran,Jakarta Pusat,Pool Gerobak,30,Bahu Jalan,12.11
TPS Rw. 07 Kel. Cempaka Baru,Jl. Cempaka Baru III,Cempaka Baru,Kemayoran,Jakarta Pusat,Pool Gerobak,30,Bahu Jalan,14
TPS JL. Sudiro,Jl. SUDIRO,Cempaka Baru,Kemayoran,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,14.81
Tps RW. 02 Cempaka Baru,Jl. Letjend Suprapto,Cempaka Baru,Kemayoran,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,17.86
Tps Jl. Bangau,Jl. Bangau II,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,Pool Gerobak,15,Prasum,83.94
Tps Yon Anmor,Jl. Tanah Tinggi Timur,Harapan Mulya,Kemayoran,Jakarta Pusat,Pool Gerobak,50,Bahu Jalan,56.86
TPS Jl. Kalibaru Timur,Jl. Kalibaru Timur,Kebon Kosong,Kemayoran,Jakarta Pusat,Pool Gerobak,35,Bahu Jalan,51.5
TPS Terusan Dakota,Jl. Dakota Raya,Kebon Kosong,Kemayoran,Jakarta Pusat,TPS 3R,70,Lahan PPKK Kemayoran,39.3
Tps Jl.  Terusan Dakota,Jl. Terusan Dakota,Kebon Kosong,Kemayoran,Jakarta Pusat,Pool Gerobak,70,Lahan milik PPKK Kemayoran,10
Tps Jl. Kepu Selatan,Jl. Kepu Selatan Rw. 03,Kemayoran,Kemayoran,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,12.52
Tps Jl. Benda,Jl. Benda timur,Kemayoran,Kemayoran,Jakarta Pusat,Pool Gerobak,15,Prasum (Bahu Jalan),10
Tps JL. Kepu Timur,Jl. kepu Timur,Kemayoran,Kemayoran,Jakarta Pusat,Pool Gerobak,15,Bahu Jalan,10.15
Tps RW.02 Pirus,Jl. Mutiara,Sumur Batu,Kemayoran,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,22.58
Zamrud,Jl. Zamrud raya,Sumur batu,Kemayoran,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,17.18
Tps Jl. Berlian,Jl. Berlian Raya,Sumur Batu,Kemayoran,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,26.48
Tps Jl. Kodam,Jl.Kodam Raya,Sumur Batu,Kemayoran,Jakarta Pusat,Pool Gerobak,15,Bahu Jalan,15.39
Tps Ardala (Gembreng),Jl. Utan Panjang Timur Rw.02,Utan Panjang,Kemayoran,Jakarta Pusat,Pool Gerobak,60,Bahu Jalan,23.69
Tps Sengon,Jl. Utan Panjang Timur Rw. 03,Utan Panjang,Kemayoran,Jakarta Pusat,Pool Gerobak,50,Bahu Jalan,18.83
Pool Gerobak Cut Mutia,Jl. Cut Mutia,Cikini,Menteng,Jakarta Pusat,Pool Gerobak,20,Bahu Jalan,30
Pool Gerobak Latuharhary,Jl. Latuharhary,Menteng,Menteng,Jakarta Pusat,Pool Gerobak,15,Bahu Jalan,8
TPS Anyer,Jl. Anyer 15,Menteng,Menteng,Jakarta Pusat,Pool Gerobak,50,PT. KAI,32
Pool Gerobak Blora,Jl. Blora,Menteng,Menteng,Jakarta Pusat,Pool Gerobak,15,Bahu jalan,8
Kartini Tengah,Jl. Kartini Raya,Kartini,Sawah Besar,Jakarta Pusat,Pool Gerobak,200,Tepi Jalan,25
Kartini Ujung,Jl. Kartini Raya,Kartini,Sawah Besar,Jakarta Pusat,Pool Gerobak,200,Tepi Jalan,15
Pangeran Jayakarta Dalam,Jl. Pangeran Jayakarta Dalam,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,Pool Gerobak,150,Ruko,4
Mangga Dua Selatan RW 06,Jl. Gatep,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,Pool Gerobak,120,Ruko,6
Lps komplek salemba,Jl salemba raya,kenari,Senen,Jakarta Pusat,Pool Gerobak,20,Milik pemda,0.04
Lps kenari 2,Kenari 2,Kenari ,Senen,Jakarta Pusat,Pool Gerobak,36,Dki,10
Keramat sentiong ,Jl keramat sentiong,keramat,Senen,Jakarta Pusat,Pool Gerobak,16,Dki,0.57
Lps sedap malam,Jl sedap malam,Keramat,Senen,Jakarta Pusat,Pool Gerobak,25,Pemda,25
lps rw 07 kwitang ,Jl kwitang 2,Kwitang,Senen,Jakarta Pusat,Pool Gerobak,36,Dki,0.283
Lps gunung agung ,Gunung agung,Kwitang ,Senen,Jakarta Pusat,Pool Gerobak,36,Dki ,9
Lps salemba tengah,Jl salemba tengah,Paseban,Senen,Jakarta Pusat,Pool Gerobak,36,Dki,12
Lps rw 01 paseban,Jl keramat lontar ,Paseban,Senen,Jakarta Pusat,Pool Gerobak,36,Milik pemda,0.283
lps rw 04 senen,Stasiun senen,Senen,Senen,Jakarta Pusat,Pool Gerobak,36,Tidak ada,24
Lps Rw 07 Benhil,Jl. Administrasi Negara I Rt/Rw 01/07,Bendungan Hilir,Tanah Abang,Jakarta Pusat,Pool Gerobak,48,Pinggir Kali,15
Lps Palmerah Selatan,Jl. Palmerah Selatan,Gelora,Tanah Abang,Jakarta Pusat,Pool Gerobak,30,Badan Jalan,10
Kampung Bali 25,Jl.Kampung Bali XXV,Kampung Bali,Tanah Abang,Jakarta Pusat,Pool Gerobak,15,Bahu Jalan,20
Lps Taman Kb Sirih 1,Jl. Taman Kebon Sirih 1,Kampung Bali,Tanah Abang,Jakarta Pusat,Pool Gerobak,30,Bahu Jalan,10
Lps Taman Kb Sirih 2,Jl. Taman Kebon Sirih 2,Kampung Bali,Tanah Abang,Jakarta Pusat,Pool Gerobak,60,Bahu Jalan,16
Lps Kebon Jati,Jl. Kebon Jati,Kampung Bali,Tanah Abang,Jakarta Pusat,Pool Gerobak,5,Bahu Jalan,6
Lps Abdul Jalil,Jl.Abdul Jalil ,Karet Tengsin,Tanah Abang,Jakarta Pusat,Pool Gerobak,28,Bahu Jalan ,10
Lps Karet Bivak,Jl. KH Mas Mansyur,Karet Tengsin,Tanah Abang,Jakarta Pusat,Pool Gerobak,30,Bahu Jalan,60
Lps Kb Kacang 9,Jl. Kebon Kacang 9 Rw 03,Kebon Kacang,Tanah Abang,Jakarta Pusat,Pool Gerobak,37.5,Bahu Jalan,20
Lps Kb Kacang 8,Jl. Kebon Kacang 8 Rw 02,Kebon Kacang,Tanah Abang,Jakarta Pusat,Pool Gerobak,30,Bahu Jalan,6
Lps Talang Betutu,Jl. Talang Betutu,Kebon Melati,Tanah Abang,Jakarta Pusat,Pool Gerobak,45,Bahu Jalan,15
Dipo Rw 01 Petamburan,Jl. Petamburan Rw 01,Petamburan,Tanah Abang,Jakarta Pusat,Pool Gerobak,63,Miliki Pemerintah,20
MA (mahkamah agung) ,Jl.cempaka putih timur 25,Cempaka putih timur,Cempaka putih,Jakarta Pusat,TPS,45,Pemrov DKI,8
Lps Cibunar,Jl.cibunar Rt.03 rw.04,Duri pulo,Gambir,Jakarta Pusat,TPS,60,Pemda,20
LPS MONAS,Monas,Gambir,Gambir,Jakarta Pusat,TPS,40,Pemerintah pusat,20
Tps Pasar Cempaka Sari,Jl. Cempaka sari III,Harapan Mulya,Kemayoran,Jakarta Pusat,TPS,15,PD Pasar,8.53
Tps gempol,Jalan kemayoran gempol,Kebon kosong,Kemayoran,Jakarta Pusat,TPS,60,Bahu jalan,16
Tps Kemayoran Gempol,Jl. Kemayoran Gempol,Kebon Kosong,Kemayoran,Jakarta Pusat,TPS,15,Bahu Jalan,34.95
Tps Pasar Serdang,Jl. Serdang III,Serdang,Kemayoran,Jakarta Pusat,TPS,30,PD PASAR JAYA,23.56
Tps Pasar Sumur Batu,Jl. Sumur Batu Raya,Sumur Batu,Kemayoran,Jakarta Pusat,TPS,45.5,PD Pasar Jaya,24
TPS Karang Anyar,Jl. Karang Anyar Raya,Karang Anyar,Sawah Besar,Jakarta Pusat,TPS,400,PJKA,80
Mangga Besar 13 (djinggo),Jl. Mangga Besar 13,Mangga Dua Selatan,Sawah besar,Jakarta Pusat,TPS,300,PJKA,18
Lps pramuka jati,Jl pramuka jati,Paseban,Senen,Jakarta Pusat,TPS,36,Dki,0.283
Lps Berlin,Jl Bungur Besar,Bungur,Senen,Jakarta Pusat,TPS,36,Dki,0.24
Lps keramat sawah,Jl keramat sawah,Paseban,Senen,Jakarta Pusat,TPS,37,Dki,1.24
Lps Pasar Kwitang,Jl Kwitang 1,Kwitang,Senen,Jakarta Pusat,TPS,38,Dki,2.24
Rw. 05 Pahlawan Jl. Pahlawan,Jl. Pahlawan Pos Pengumben,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,Pool Gerobak,100,Jalan umum Utama,19.26
Rw. 01 Peruri Sukabumi Selatan,Jl. Komp. KPBD Rw 01 Sukabumi selatan kebon jeruk,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,Pool Gerobak,80,Milik PT. Peruri ,24255
Rw. 05 Pasar Pos Pengumben,Jl. Raya pos pengumben rt 07 rw 05 sukabumi selatan kebon jeruk,Sukabumi Selatan ,Kebon Jeruk,Jakarta Barat,Pool Container,30,Milik PD. Pasar jaya pos pengumben,7.51
Rw. 06 Perumahan Bulog,Jl. Raya pos pengumben rt 05 rw 06 sukabumi selatan kebon jeruk,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,Pool Container,71,Perumahan Bulog,4.3
Rw. 02 Jl. Panjang Arteri Kelapa Dua,Jl. Arteri Kelapa Dua Raya,Kelapa Dua,Kebon Jeruk,Jakarta Barat,Pool Gerobak,350,Pinggir Jalan Umum,77625
Rw. 07 Vila Kelapa Dua,Jl. Janur Raya Vila Kelapa Dua,Kelapa Dua,Kebon Jeruk,Jakarta Barat,Pool Gerobak,250,Vila Kelapa Dua,7785
Rw. 05 Perumahan Pertambangan,Jl. Komplek  Perumahan Pertambangan,Kelapa Dua,Kebon Jeruk,Jakarta Barat,Pool Gerobak,50,Komplek Pertambangan,6.03
Rw. 06 Pinggir Kali Pesangrahan Kelapa Dua,Jl. Pinggir Kali Pesangrahan Pos Pengumben Kelapa Dua dekat Kebon Bibit pertamanan,Kelapa Dua,Kebon Jeruk,Jakarta Barat,Pool Gerobak,250,Pinggir Jalan Umum,54765
Rw. 03 Pasar Kembang Rawabelong,"Jl. Sulaiman No.50, RT.2/RW.3, Sukabumi Utara",Sukabumi Utara,Kebon Jeruk,Jakarta Barat,Bak Beton,33,Pasar Kembang Rawabelong,16245
Rw. 04 Hankam ,"Jl. Raya Kby. Lama No.10, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540",Sukabumi Utara,Kebon Jeruk,Jakarta Barat,Pool Container,70,Perumahan Hankam,8.64
Rw. 02 Komplek DPR,Jl. Komplek DPR Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jakarta Barat,Pool Container,60,Komplek DPR,4455
Rw. 010 Jl. Lapangan Bola,Jl. Lapangan Bola Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jakarta Barat,Pool Gerobak,80,Pinggir Jalan Umum,9.18
Rw. 01 Perumahan Depag,Jl. Kedoya Duri Raya Rw. 01,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,Pool Gerobak,60,Pinggir Jalan Umum,6.48
Rw. 05 Jl. Puri Kembangan,Jl. Puri Kembangan Kedoya Selatan,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,Pool Gerobak,50,Pinggir Jalan Umum,9
Jl. Adhi Karya Rw. 05,Jl. Adhi Karya Kedoya Selatan,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,Pool Gerobak,50,Pinggir Jalan Umum,7.02
Rw. 07Jl. Kedoya Raya,Jl. Kedoya Raya depan pemakaman,Kedoya Utara,Kebon Jeruk,Jakarta Barat,Pool Gerobak,60,Pinggir Jalan,8.65
Rw. 08 Pasar Kedoya Utara,"Jalan Kedoya Pesing, RT.14/RW.8, Kedoya Utara, Kebon Jeruk, RT.14/RW.8",Kedoya Utara,Kebon Jeruk,Jakarta Barat,Pool Container,42,PD Pasar Jaya Kedoya Utara,6435
Rw. 03 Greenvile Duri Kepa,Jl. Komplek Greenvile Rw. 03,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Container,50,Pinggir Jalan Umum,7875
Rw. 03 Green Garden," jl. Komplek green garden Rw.03, Kedoya Utara",Kedoya Utara,Kebon Jeruk,Jakarta Barat,Pool Container,300,Komplek Green Garden,5.4
Rw. 02 Asrama Polisi," Jl. Daan Mogot, RT.4/RW.2, Kedoya Utara",Kedoya Utara,Kebon Jeruk,Jakarta Barat,Pool Container,36,Asrama Polisi,4.95
Rw.010 Duri Kepa,Jl. Mangga XVII Duri Kepa,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Gerobak,70,Pinggir Jalan Umum,5.04
Rw. 07 Duri kepa,Jl. Duri Utama Raya Duri Kepa,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Gerobak,60,Pinggir Jalan Umum,5.04
Rw. 013 Sungai Yordan Duri Kepa,Jl. Ratu Meati Depan Gereja,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Gerobak,50,Pinggir Jalan Umum,6435
Rw. 013 Kali Sekretaris,Jl.  Kali Sekretaris Duri Kepa,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Gerobak,70,Pinggir Jalan umum,17145
Rw. 09 Duri Kepa,Jl. Kali Sekretaris  Duri kepa,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Container,120,Perumahan Green Garden Rw. 09,14625
Rw. 02 Pasar Patra,Jl. Patra Raya,Duri kepa,Kebon Jeruk,Jakarta Barat,Pool Container,90,Pasar Patra,3.24
DIPO Kebon Jeruk Rw. 08,Jl. Perumahan Kebon Jeruk Baru,Kebon Jeruk,Kebon Jeruk,Jakarta Barat,Dipo,300,Pemda DKI Jakarta,47.52
Rw. 06 Duri Kepa,JL. Palem Duri kepa,Duri Kepa,Kebon Jeruk,Jakarta Barat,Pool Gerobak,60,Pinggir Jalan,3825
Dipo Makaliwe,Jl. Makaliwe,Grogol,Grogol Petamburan,Jakarta Barat,Dipo,200,Dinas Pemuda dan Olahraga,80
Dipo Arjuna,Jl. Arjuna,Tanjung Duren Selatan,Grogol Petamburan,Jakarta Barat,Dipo,100,Dinas Bina MARGA,30
DIPO Indraloka,Jl. Indraloka,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Dipo,200,Fasos Fasum,40
