nama_tps,alamat,kelurahan,kecamatan,wilayah,jenis_tps,luas_lahan(m2),status_lahan,volume_sampah_rata_rata_per_hari(m3)
Dipo Tio,Jl. Tanjung Duren Utara IV,Tanjung Duren Utara,Grogol Petamburan,Jakarta Barat,Dipo,100,Dinas Pertamanan dan Pemakaman,20
Dipo Uci,Jl. Jelambar Utara,Jelambar Baru,Grogol Petamburan,Jakarta Barat,Dipo,60,Perum THI,24
Dipo Kembar Rw. 02,Jl. Jelambar Baru Raya,Jelambar Baru,Grogol Petamburan,Jakarta Barat,Dipo,60,Fasos Fasum,24
Dipo Kembar Rw. 08,Jl. Jelambar Baru Raya,Jelambar,Grogol Petamburan,Jakarta Barat,Dipo,60,Fasos Fasum,24
Dipo Rw. 11,Jl. Duta Mas,Jelambar Baru,Grogol Petamburan,Jakarta Barat,Dipo,45,Telkom,20
Dipo Rw. 12,Jl. Duta Mas,Jelambar Baru,Grogol Petamburan,Jakarta Barat,Dipo,40,Telkom,20
Dipo Pakuwon ,Jl. Jelambar Selatan,Jelambar Baru,Grogol Petamburan,Jakarta Barat,Dipo,48,Fasom Fasum,20
Rw. 09 Duta Mas,Jl. Taman Duta Mas,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Gerobak,24,Fasos Fasum,14
Joker Rw. 01,Jl. Daan Mogot 1,Tanjung Duren Utara,Grogol Petamburan,Jakarta Barat,Pool Container,28,Swadaya,10
Sosial Rw. 02,Jl. Sosial,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Container,15,Swadaya,6
Jl. Taman Surya  Kel. Wijaya Kusuma,Jl. Taman Surya  Kel. Wijaya Kusuma,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Container,15,Pemda,10
Universitas Trisakti,Universitas Trisakti,Tomang,Grogol Petamburan,Jakarta Barat,Pool Container,15,Pemda,10
Pasar Grogol,Jl. Dr. Susilo Raya Kel. Grogol,Grogol,Grogol Petamburan,Jakarta Barat,Pool Container,15,Pemda,6
Jl. Arjuna Kel. Tj. Duren Utara,Jl. Arjuna Kel. Tj. Duren Utara,Tj. Duren Utara,Grogol Petamburan,Jakarta Barat,Pool Container,40,Pemda,10
Pasar Duta Mas,Jl. Komp. Duta mas Kel. Wijaya Kusuma,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Container,12,Pemda,6
Jl. Swadaya Raya Kel. Wijaya Kusuma,Jl. Swadaya Raya Kel. Wijaya Kusuma,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Container,48,Pemda,10
Jl. Susilo Kel. Grogol,Jl. Susilo Kel. Grogol,Grogol,Grogol Petamburan,Jakarta Barat,Pool Gerobak,18,Pemda,12
Jl. Tawakal Raya  Kel. Tomang,Jl. Tawakal Raya  Kel. Tomang,Tomang,Grogol Petamburan,Jakarta Barat,Pool Gerobak,21,Pemda,20
Jl. Tawakal Ujung Raya,Jl. Tawakal Ujung Raya,Tomang,Grogol Petamburan,Jakarta Barat,Pool Gerobak,25,Pemda,20
Jl. Delima  Kel. Tj. Duren Selatan ,Jl. Delima  Kel. Tj. Duren Selatan ,Tj. Duren Selatan,Grogol Petamburan,Jakarta Barat,Pool Gerobak,21,Pemda,12
Jl. Taman Rasa Sayang Rw 08 Kel. W. Kusuma,Jl. Taman Rasa Sayang Rw 08 Kel. W. Kusuma,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Gerobak,70,Pemda,20
Jl. TB. Angke Kel W. Kusuma,Jl. TB. Angke Kel W. Kusuma,Wijaya Kusuma,Grogol Petamburan,Jakarta Barat,Pool Gerobak,33,Pemda,20
Jl. Hadiah Utama,Jl. Hadiah Utama,Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,18,Pemda,12
Jl. Satria I,Jl. Satria I,Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,30,Pemda,12
"Jl. Perdana, Kelurahan Wijaya Kusuma","Jl. Perdana, Kelurahan Wijaya Kusuma",Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,40,Pemda,20
Jl. Kav Polri,Jl. Kav Polri,Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,18,Pemda,12
Jl. Kav Polri,Jl. Kav Polri,Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,18,Pemda,12
Jl. Kav Polri,Jl. Kav Polri,Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,18,Pemda,12
Jl.  Prof Latumenten,Jl.  Prof Latumenten,Jelambar,Grogol Petamburan,Jakarta Barat,Pool Gerobak,18,Pemda,12
Dipo komp hankam rw 02,Jl kepodang ,Palmerah,Palmerah,Jakarta Barat,Dipo,260,Dinas tata air,16
Lps rw 03 palmerah,Jl kemanggisan pulo,Palmerah,Palmerah,Jakarta Barat,Pool Gerobak,300,PU Jalan / pinggir kali,36
Darmais Rt. 07 Rw. 09,JL. H. Saman,Kota Bambu selatan,Palmerah,Jakarta Barat,Pool Container,18,Bina Marga,10
Museum tekstil Rw. 01,JL. KS. Tubun,Kota Bambu Selatan,Palmerah,Jakarta Barat,Pool Container,35,Museum,5
dipo jati pulo,jln. tomang raya rt 11 rw 04,jati pulo,palmerah,Jakarta Barat,Dipo,400,bina marga,32
pool container,jln banjir kanal barat rw 10,jati pulo,palmerah,Jakarta Barat,Pool Container,30,bina marga,6
Kamboja raya,Jl. Kamboja raya RW. 07 ,Kota Bambu Utara,Palmerah,Jakarta Barat,Pool Container,40,Bina marga,10
JPO ks. Tubun 1,Jl. Ks. Tubun 1,Kota Bambu Utara,Palmerah,Jakarta Barat,Pool Gerobak,40,Bina marga,8
Lps rw 09 kemanggisan,Jl budi raya,Kemanggisan ,Palmerah ,Jakarta Barat,Pool Gerobak,40,Pinggir jalan,12
Container pasar slipi,Jl kemanggisan ,Kemanggisan,Palmerah ,Jakarta Barat,Pool Container,30,Pasar slipi,6
Lps 01 kemanggisan ,Jl inspeksi ujung ,Kemanggisan,Palmerah,Jakarta Barat,Pool Gerobak,50,Binamarga,8
Tps taman cattleya,Jl nasional 1,Kemanggisan,Palmerah,Jakarta Barat,Pool Container,50,Pertamanan,10
Lps Rw 05 Kemanggisan,Jl Kemanggisan Utama,Kemanggisan ,Palmerah ,Jakarta Barat,Pool Gerobak,50,Binamarga,30
Lps Rw 02 Slipi,Jl Ks Tubun ,Slipi,Palmerah ,Jakarta Barat,Pool Gerobak,75,Binamarga,15
Lps Rw 06 Slipi,Jl Ks Tubun ,Slipi,Palmerah ,Jakarta Barat,Pool Gerobak,12,Pemerintah Polri,6
Lps Rw 06 Slipi,Jl Ks Tubun ,Slipi,Palmerah ,Jakarta Barat,Pool Gerobak,8,Pemerintah Polri,6
Rw 015 Kel. Kapuk,Jl. Daan mogot Estate Kapuk Cengkareng Jakarta Barat,Kel. Kapuk,Cengkareng,Jakarta Barat,Pool Container,42,Milik perumahan Daan Mogot Estate,7
LPS RW.03 Cengkareng Timur,Jalan Bangun Nusa Cengakreng Timur,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Container,70,Milik PLN ,13
LPS RW.13 Cengkareng Timur,Jalan Pedongkelan Raya No.15-16 Cengkareng Timur,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Gerobak,75,Lahan Milik Dinas PU Air,10
LPS RW.11 Cengkareng Timur,Jalan Outer ring road Cengkareng Timur,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Gerobak,60,Jalan Umum,30
Tps Rw 016 Kel. Kapuk,"Jl. Kapuk Pasar Alam, Kapuk-Cengkareng Jakarta Barat",Kapuk,Cengkareng,Jakarta Barat,Pool Gerobak,150,Warga,13
Tps Rw 08 Kel. Kapuk,"Jl. Cengkareng Indah, Kapuk Cengkareng Jakarta Barat",Kapuk,Cengkareng,Jakarta Barat,Pool Gerobak,200,Milik Perumahan Cengkareng Indah,7
Tps Rw 014 Kel. Kapuk,"Jl. Cengkareng Indah, Kapuk Cengkareng Jakarta Barat",Kapuk,Cengkareng,Jakarta Barat,Pool Gerobak,200,Milik Perumahan Cengkareng Indah,7
Tps Rw 12 Kel. Kapuk,Jl. Pedongkelan raya Kapuk Cengkareng Jakarta Barat,Kapuk,Cengkareng,Jakarta Barat,Pool Gerobak,40,Jalan umum,13
LPS Rumah Susun Budha Tzuci Cengkareng Timur,Jln Rusun Cengkareng Indah Blok Dahlia 3 Cengkareng Timur,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Container,200,Milik Pemda DKI,22
Tps Rw 03 Kel. Kapuk,Jl. Ptb Cengkareng Indah Kapuk Cengkareng Jakarta Barat,Kapuk,Cengkareng,Jakarta Barat,Pool Gerobak,40,PU Jalan,13
LPS Rusun Cengkareng Indah,Jln Rusun Cengkareng Indah  Blok Seruni no.8,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Gerobak,30,Milik Pemprov DKI,10
Tps Rw 06 Kel. Kapuk,Jl. Pedongkelan Raya Kapuk Cengkareng Jakarta Barat,Kapuk,Cengkareng,Jakarta Barat,Pool Gerobak,80,Milik Pertamanan,7
Dipo RW.14 Cengkareng Timur,Jalan Rawa Kedaung RT.04/14,Cengkareng Timur,Cengkareng,Jakarta Barat,Dipo,250,Milik Perumnas,25
LPS RW.15 Cengkareng Timur,Jln Gunung Galunggung Raya blok D1 no.15,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Gerobak,50,Jalan Umum,12
LPS RW.06 Cengkareng Timur,Jln Lingkar Luar Cengkareng Timur,Cengkareng Timur,Cengkareng,Jakarta Barat,Pool Gerobak,55,Lahan Jalan Umum ,12
LPS PD.Pasar Jaya Cengkareng,Jl.Bangun Nusa2 No.1,Cengakareng Timur,Cengkareng,Jakarta Barat,Pool Gerobak,300,Lahan PD Pasar Jaya,22
LPS Pasar Ganefo,Jl.Cemara No.1B,Cengkareng Barat,Cengkareng,Jakarta Barat,Bak Beton,60,Milik Pasar Jaya,15
LPS RW.07 Cengkareng Barat,Jalan Cendwrawasih X No.8,Cengkareng Barat,Cengkareng,Jakarta Barat,Pool Container,150,Milik Pemprov DKI,15
TPS Bambu Larangan,Jl.Bina Serasi III blok E Pegadungan,Cengkareng Barat,Cengkareng,Jakarta Barat,Dipo,200,Milik Dinas Ling.Hidup DKI,15
LPS RW.15 Cengkareng Barat,Jalan Taman Palm Lestari ,Cengakreng Barat,Cengkareng,Jakarta Barat,Dipo,200,milik perumahan palm,15
LPS RW.13,Jalan Taman Palm Lestari blok B1 No.6,Cengkareng Barat,Cengkareng,Jakarta Barat,Pool Gerobak,60,Milik palm lestari,11
LPS RW.16 Cengkareng Barat,Jalan Taman Palm Lestari blok A12,Cengkareng Barat,Cengkareng,Jakarta Barat,Pool Gerobak,150,Lahan Perumahan,15
LPS RW.11 Cengkareng Barat,Jalan Perumahan KFT Blok A3 No.14,Cengkareng Barat,CENGKARENG,Jakarta Barat,Pool Container,100,Milik Perumahan,12
LPS Ruko 1000,Jalan Perum KFT seribu ruko,Cengkareng Barat,Cengkareng,Jakarta Barat,Pool Container,100,Milik Perum KFT,15
LPS RW.08 Cengkareng Barat,Jalan kamal raya cengkareng barat,Cengkareng Barat,Cengkareng,Jakarta Barat,Pool Gerobak,60,Lahan warga,12
TPS RW.10 FLAMBOYAN,Jln Rusun Flamboyan,Cengkareng Barat,Cengkareng,Jakarta Barat,Pool Gerobak,75,milik pemprov dki,12
TPS rusun flamboyan,Jln Rusun Flamboyan cengkareng,Cengkareng barat,Cengkareng,Jakarta Barat,Bak Beton,150,milik pemprov dki,12
Dipo Pasar RW.02 Rawa Buaya,Jl.Darma wanita1 RW.02,Rawa Buaya,Cengkareng,Jakarta Barat,Dipo,200,Pasar Jaya,38
TPS RW.03 Rw.Buaya,Jl.H.Nimin No.07,Rawa Buaya,Cengkareng,Jakarta Barat,Pool Gerobak,70,Jalan Umum,4
TPS RW.02 Rawa Buaya,Jl.H.Mamun Saleh No.25,Rawa Buaya,Cengkareng,Jakarta Barat,Pool Gerobak,100,Pergudangan Prima,5
TPS RW.10 DURI KOSAMBI,Jl.Mawar Utama Blok A3 No.3,Duri Kosambi,Cengkareng,Jakarta Barat,Dipo,250,Pemprov DKI,15
TPS RW.15,"Sikas, semanan kalideres",Duri kosambi,Cengkareng,Jakarta Barat,Pool Gerobak,150,Milik Perumahan,19
TPS RW.02 ,Jl.H Sulaiman,Duri Kosambo,Cengkareng,Jakarta Barat,Dipo,250,PEMPROV DKI,25
Tps Rw 011 Kel. Kapuk,Jl. Kapuk Metro Kapuk Cengkareng Jakarta Barat,Kapuk,Cengkareng,Jakarta Barat,TPS,200,Pemilik Warga,12
RW.03 KKA,Jl. Komp. Departemen Agama ,Kedaung kali Angke,Cengkareng,Jakarta Barat,Pool Gerobak,100,Pinggir Jalan,18
Dipo Kopti RW 011 Semanan,Jalan moch Asini komplek pim Kopti Rw 011/009 ,Semanan,Kalideres,Jakarta Barat,Dipo,360,Koperasi Kopti,6
TPS RW RW 003 Semanan,Jalan Kampung malang RT. 002/003 Semanan,Semanan,Kalideres,Jakarta Barat,Pool Container,160,Milik Warga,8
TPS RW 01 Semanan,Jalan Daan Mogot RW 001 Semanan,Semanan,Kalideres,Jakarta Barat,Pool Gerobak,60,Bahu Jalan ,12
TPS RW 002 Semanan,Jalan baru kali mokevart daan mogot,Semanan,Kalideres,Jakarta Barat,Pool Gerobak,60,Bahu jalan,22
TPS RW 005 Semanan,Jalan mokevart daan mogot ,Semanan,Kalideres,Jakarta Barat,Bak Beton,50,Bahu jalan,15
Tps Kojan RW 006 Kalideres,Jalan kojan RW 006,Kalideres,Kalideres,Jakarta Barat,Pool Gerobak,60,Bahu jalan,12
TPS kodam kalideres,Komplek kodam ,Kalideres,Kalideres,Jakarta Barat,Bak Beton,75,Milik Kodam,10
TPS RW 015 Kalideres,Citra 1 ext kalideres,Kalideres,Kalideres,Jakarta Barat,TPS,320,Milik komplek citra garden,6
Tps PD pasar jaya kalideres,Pasar perumahan citra ,Kalideres,Kalideres,Jakarta Barat,Pool Container,20,PD Pasar Jaya,6
TPS RW 008 ,Jalan citra 1 RW 008 kalideres,Kalideres,Kalideres,Jakarta Barat,TPS,300,Milik komplek citra 1,22
Tps Sumur Bor,Jalan Raya Sumur Bor,Kalideres,Kalideres,Jakarta Barat,Bak Beton,20,Bahu Jalan,10
TPS Utan Jati,Jalan Rata Utan jati RW 011,Pegadungan,Kalideres,Jakarta Barat,Pool Gerobak,35,Bahu Jalan,12
TPS Bulak Teko,Jalan bulak teko kalideres,Kalideres,Kalideres,Jakarta Barat,TPS,700,Milik RW,25
Tps Pasar Pisang,Jalan peta selatan pasar pisang kalideres,Kalideres,Kalideres,Jakarta Barat,Pool Container,24,milik PD Pasar,6
Dipo RW. 009/010 kalideres,Komplek Citra Blok F RW.  009,Kalideres,Kalideres,Jakarta Barat,Dipo,600,Milik Pemda,22
Tps RW 016 kalideres,Komplek Citra 1 blok A RW. 016,Kalideres,Kalideres,Jakarta Barat,TPS,300,Milik Citra,8
Tps RW 014 pegadungan,Komplek puri mansion,Pegadungan,Kalideres,Jakarta Barat,Pool Container,300,Milik puri mansion,10
Dipo RW 001 Pegadungan,Jalan Kali Maja RW 001  Pegadungan,Pegadungan,Kalideres,Jakarta Barat,Dipo,300,Milik Pemda,22
TPS RW 007 Pegadungan,Jalan Kali Maja ,Pegadungan,Kalideres,Jakarta Barat,Pool Gerobak,200,Milik Warga,22
TPS Merpati RW 010 Pegadungan,Komplek merpati RW 010 Pegadungan,Pegadungan,Kalideres,Jakarta Barat,TPS,120,Milik komplek Merpati,8
Tps RW 013 Pegadungan,Komplek Citra 3 RW 013 pegadungan,Pegadungan,Kalideres,Jakarta Barat,Pool Container,800,Milik Citra Garden 3,12
TPS RW 003 Pegadungan,Komplek Taman Surya RW 003 Pegadungan,Pegadungan,Kalideres,Jakarta Barat,Pool Gerobak,200,Milik Taman Surya,22
Tps RW 015 pegadungan,Komplek Taman Surya RW. 015,Pegadungan,Kalideres,Jakarta Barat,Pool Gerobak,180,Milik RW,22
Dipo RW 009 Pegadungan,Jalan Bambu Larangan,Pegaudngan,Kalideres,Jakarta Barat,Dipo,700,Milik Warga,22
Dipo RW 004 Tegal Alur,Komplek Menceng,Tegal Alur,Kalideres,Jakarta Barat,POOL GEROBAk,300,Pemda,16.2
Dipo RW 010 Kamal,citra 5,Kamal,Kalideres,Jakarta Barat,DIPO,20,Fasilitas Umum,14
TPS Terbuka RW 003 Kamal,Jl. Sahabat Kamal,Kamal,Kalideres,Jakarta Barat,POOL GEROBAk,15,Fasilitas Umum,17
RW Terbuka 008 Kamal,Jl. Benda Raya walungan,Kamal,Kalideres,Jakarta Barat,POOL GEROBAk,200,Fasilitas Umum,20
PD Pasar RW 002 Kamal ,JL. Kamal benda Raya,Kamal,Kalideres,Jakarta Barat,POOL GEROBAk,15,Fasilitas Umum,6
TPS Terbuka RW 005 Kamal,Jl. Sahabat Kamal,Kamal,Kalideres,Jakarta Barat,POOL GEROBAk,15,Fasilitas Umum,20
RW. 009 Semanan,Jl. Semanan Raya,Semanan,Kalideres,Jakarta Barat,Pool Gerobak,32,fasilitas umum,12
Pasar Rawa Lele Kalideres,Jl. rawa Lele,Kalideres,Kalideres,Jakarta Barat,Bak Beton,45,Pasar Rawa Lele,12
RW. 009 Pegadungan,Jl. Kali Maja,Pegadungan,Kalideres,Jakarta Barat,Pool Gerobak,25,jl raya,10
Rw. 014 Kalideres,Komplek Kalideres Permay,Kalideres,Kalideres,Jakarta Barat,Pool Container,30,fasilitas umum,12
TPST Permata Tegal Alur,Jl. Permata Tegal Alur,Tegal Alur,Kalideres,Jakarta Barat,Pool Gerobak,320,fasilitas umum,10
Rw 02,Jl. Mangga Besar IX,Tangki,Tamansari,Jakarta Barat,Pool Container,50,Swadaya,3
Tps Rw. 01 ,Jl. Pancoran Raya  Glodok ,Glodok,Tamansari,Jakarta Barat,Pool Gerobak,14,Bahu Jalan,11
Tps  Rw. 03 ,Jl. Keadilan 5 Glodok ,Glodok,Tamansari,Jakarta Barat,Pool Gerobak,12,Bahu Jalan,5
" Tps Rw. 02, 04 ",Jl. Keadilan 5 Glodok ,Glodok,Tamansari,Jakarta Barat,Pool Gerobak,12,Bahu Jalan,8
Tps Rw. 05 ,Jl. Keadilan 5 Glodok ,Glodok,Tamansari,Jakarta Barat,Pool Gerobak,12,Bahu Jalan,7
PD Pasar Glodok City ,Jl. Pancoran Glodok City ,Glodok,Tamansari,Jakarta Barat,Pool Container,15,Lahan Pasar,8
Rw 10 ,Jl. Inspeksi Kali Krukut,Keagungan ,Tamansari,Jakarta Barat,Pool Container,50,Bahu jalan ,5
Rw. 01 s/d 09 ,Jl. Inspeksi Kali Krukut,Keagungan ,Tamansari,Jakarta Barat,Pool Gerobak,30,Bahu Jalan,18
Pasar Gang Kancil ,Jl. Keamanan ,Keagungan ,Tamansari,Jakarta Barat,Pool Container,80,Bahu Jalan,6
Rw 03 ,Jl. Talib ,Krukut,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu jalan ,4
Pasar Krukut Rw 02,Jl. Pasar Krukut ,Krukut,Tamansari,Jakarta Barat,Pool Container,40,swadaya ,5
Rw 01 s/d 09,Jl. Inspeksi Kali Krukut,Krukut,Tamansari,Jakarta Barat,Pool Gerobak,50,swadaya masyarakat,18
"Rw 07, Rw 08",Jl. Ketapang Utara ,Krukut ,Tamansari,Jakarta Barat,Pool Gerobak,100,Swadaya Masyarakat ,8
Rw 06,Jl. Talib ,Krukut ,Tamansari ,Jakarta Barat,Pool Container,50,Swadaya Masyarakat ,4
Rw 02,Jl. Manggis Raya ,Mangga Besar,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,4
"Rw 04, 05 ",Jl. Mangga Besar V,Mangga Besar,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,10
Pasar HWI,Jl. Mangga Besar V,Mangga Besar ,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,4
Rw 01,Jl. Manggis Raya ,Mangga Besar,Tamansari ,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,3
Rw 03,Jl. Mangga Besar V ,Mangga Besar ,Tamansari ,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,7
TPS Rw. 03 ,Jl. Tamansari Raya,Maphar,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan,6
"TPS Rw. 04, 05, 06 ",Jl. Kebun Jeruk IX,Maphar,Tamansari,Jakarta Barat,Pool Gerobak,75,Bahu Jalan ,10
TPS Rw. 08 ,Jl. Kebun Jeruk XVIII,Maphar,Tamansari,Jakarta Barat,Pool Container,50,Bahu Jalan ,5
TPS Rw. 09 ,Jl. Kebun Jeruk XVIIII,Maphar,Tamansari,Jakarta Barat,Pool Container,96,Bahu Jalan,18
Pasar Mangga Besar  ,Jl. Hayam Wuruk ,Maphar,Tamansari,Jakarta Barat,Bak Beton,25,Bak Beton,3
TPS Rw 01,Jl. Alpu ,Maphar,Tamansari,Jakarta Barat,Pool Container,50,Swadaya,5
Pasar PD Jaya Sawah Besar,Jl. Kebun Jeruk XVI,Maphar,Tamansari,Jakarta Barat,Pool Container,45,Bahu Jalan,5
Rw 06 Gloria ,Jl. Pintu Besar Utara ,Pinangsia ,Tamansari,Jakarta Barat,Pool Container,50,Bahu Jalan ,5
"Rw 01, 02,0,3,04",Jl. Mangga Dua Raya ,Pinangsia ,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,10
Rw 05,Jl. Pinangsia Raya ,Pinangsia ,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,4
Rw 05,Jl. Pangeran Jayakarta ,Pinangsia ,Tamansari,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,6
Rw 06 Balokan ,Jl. Balokan ,Pinangsia ,Tamansari,Jakarta Barat,Pool Container,50,Swadaya ,4
Rw 01 Pasar ,Jl. Pangeran Jayakarta ,Pinangsia ,Tamansari,Jakarta Barat,Pool Container,50,Bahu Jalan ,5
Rw 07,Jl. Kunir  ,Pinangsia ,Tamansari,Jakarta Barat,Pool Gerobak,50,PT. KAI,2
Toko asemka ,Jl. Asemka Raya ,Pinangsia ,Tamansari,Jakarta Barat,Bak Beton,50,Gedung Asemka ,3
Pancoran Gloria,Jl. Pancoran Gloria,Pinangsia ,Tamansari,Jakarta Barat,Pool Container,50,Bahu Jalan,5
Stasiun Beos ,Jl. Lada ,Pinangsia,Tamansari ,Jakarta Barat,Bak Beton,100,Stasiun Ka ,4
Rw 06 Inspeksi Kunir ,Jl. Inpeksi Kunir ,Pinangsia ,Tamansari ,Jakarta Barat,Pool Gerobak,50,Bahu Jalan ,10
Museum Bank Mandiri ,Jl. Pintu Kecil II,Pinangsia ,Tamansari ,Jakarta Barat,Pool Container,50,Museum Bank Mandiri ,1
Rw 01,Jl. Acc ,Pinangsia ,Tamansari ,Jakarta Barat,Bak Beton,25,swadaya ,5
Pasar Pecah Kulit ,Jl. Pasar Pecah Kulit ,Pinangsia ,Tamansari ,Jakarta Barat,Pool Container,50,Bahu Jalan,5
Rw. 01 Jl. Tamansari Raya,Jl. Tamansari Raya,Tamansari,Tamansari,Jakarta Barat,Pool Gerobak,125,Bahu Jalan,18
"Rw. 06, 07Jl. Tamansari Raya",Jl. Tamansari Raya,Tamansari,Tamansari,Jakarta Barat,Pool Gerobak,100,Bahu Jalan,14
Rw. 04 Jl. Mangga Besar 8,Jl. Tamansari Raya 8,Tamansari,Tamansari,Jakarta Barat,Pool Gerobak,75,Bahu Jalan,7
Rw. 08 Jl. Kebon Jeruk 9,Jl. Kebon Jeruk 9,Tamansari,Tamansari,Jakarta Barat,Pool Container,45,Bahu Jalan,4
Pasar Asem Reges ,Jl. Tamansari Raya,Tamansari,Tamansari,Jakarta Barat,Pool Container,45,Perusahaan,6.33
"Rw. 02, 03, 05 Jl. Mangga Besar 2",Jl. Mangga Besar 2 ,Tamansari,Tamansari,Jakarta Barat,Pool Gerobak,125,Bahu Jalan,212
Rumah Susun-Angke,Jl. Rumah Susun RW 11 , Angke ,Tambora,Jakarta Barat,Bak Beton ,15, Rusun ,11.9
Psr Jembatan Dua,Psr Jembatan Dua Jl. Tb Angke RW 01, Angke ,Tambora,Jakarta Barat,Pool Container,30, PD Pasar ,11.8
LPS Padamulya,Jl. Padamulya Rw 08 , Angke ,Tambora,Jakarta Barat,Pool Gerobak ,150, Jl. Raya ,28.33
LPS Pasar Ayam RW.01 ,Pasar Ayam RW.01 , Angke ,Tambora,Jakarta Barat,Pool Gerobak ,30, Jl. Raya ,15.14
LPS Duri Selatan 8 RW 05,Jl. Duri Selatan 8 RW 05, Duri selatan ,Tambora,Jakarta Barat,Pool Gerobak ,30, Jl. Raya ,20.33
LPS Duri Raya Rw 04 ,Jl. Duri Raya Rw 04 , Duri selatan ,Tambora,Jakarta Barat,Pool Gerobak ,30, Jl. Raya ,21.8
Dipo Duri Utara,Jl. Duri Utara III Rw 02 , Duri Utara ,Tambora,Jakarta Barat,Dipo,210, Pemda ,23.9
LPS  Jembatan Besi RW 05  Segitiga Velbak,Jl. Jembatan Besi RW 05  Segitiga Velbak, Jembatan Besi ,Tambora,Jakarta Barat,Pool Gerobak ,45, Jl. Raya ,31.76
LPS Duri Bangkit Rw 09 ,Jl. Duri Bangkit Rw 09 , Jembatan Besi ,Tambora,Jakarta Barat,Pool Gerobak ,30, Jl. Raya ,28.22
